Album Name,Album Link
2.8.20 | Snowsio | 10 Mile Music Hall | Pink Floyd Vs Led Zeppelin Ft. Eminence Ensemble & Joel Cummins,https://papadosio.bandcamp.com/album/2820-snowsio-10-mile-music-hall-pink-floyd-vs-led-zeppelin-ft-eminence-ensemble-joel-cummins
"2.7.20 | Snowsio | 10 Mile Music Hall | Frisco, CO (Set 2)",https://papadosio.bandcamp.com/album/2720-snowsio-10-mile-music-hall-frisco-co-set-2
"2.8.20 | Snowsio | 10 Mile Music Hall | Frisco, CO (Set1)",https://papadosio.bandcamp.com/album/2820-snowsio-10-mile-music-hall-frisco-co-set1
"2.7.20 | Snowsio | 10 Mile Music Hall | Frisco, CO (Set 1)",https://papadosio.bandcamp.com/album/2720-snowsio-10-mile-music-hall-frisco-co-set-1
"1.11.20 | Sheridan Opera House Night 2 | Telluride, CO",https://papadosio.bandcamp.com/album/11120-sheridan-opera-house-night-2-telluride-co
"1.10.20 | Sheridan Opera House Night 1 | Telluride, CO",https://papadosio.bandcamp.com/album/11020-sheridan-opera-house-night-1-telluride-co
"1.8.20 | Belly Up | Aspen, CO",https://papadosio.bandcamp.com/album/1820-belly-up-aspen-co
"12.31.19 | Bluestone Night 2 | Columbus, OH",https://papadosio.bandcamp.com/album/123119-bluestone-night-2-columbus-oh
"12.30.19 | Bluestone Night 1 | Columbus, OH",https://papadosio.bandcamp.com/album/123019-bluestone-night-1-columbus-oh
"12.28.19 | Holidosio Night 2 | Isis Music Hall | Asheville, NC",https://papadosio.bandcamp.com/album/122819-holidosio-night-2-isis-music-hall-asheville-nc
"12.27.19 | Holidosio Night 1 | Isis Music Hall | Asheville, NC",https://papadosio.bandcamp.com/album/122719-holidosio-night-1-isis-music-hall-asheville-nc
"11.30.19 | Magic Stick | Detroit, MI",https://papadosio.bandcamp.com/album/113019-magic-stick-detroit-mi
"11.29.19 | Magic Stick | Detroit, MI",https://papadosio.bandcamp.com/album/112919-magic-stick-detroit-mi
"11.23.19 | The Visulite | Charlotte, NC",https://papadosio.bandcamp.com/album/112319-the-visulite-charlotte-nc
"11.22.19 | The Visulite | Charlotte, NC",https://papadosio.bandcamp.com/album/112219-the-visulite-charlotte-nc
"11.16.19 | Deep Ellum Art CO | Dallas, TX",https://papadosio.bandcamp.com/album/111619-deep-ellum-art-co-dallas-tx
"11.15.19 | Empire Control Room & Garage | Austin, TX",https://papadosio.bandcamp.com/album/111519-empire-control-room-garage-austin-tx
"11.9.19 | Basement East | Nashville, TN",https://papadosio.bandcamp.com/album/11919-basement-east-nashville-tn
"11.8.19 | Basement East | Nashville, TN",https://papadosio.bandcamp.com/album/11819-basement-east-nashville-tn
"11.2.19 | House of Blues | Cleveland, OH",https://papadosio.bandcamp.com/album/11219-house-of-blues-cleveland-oh
"11.1.19 | Fall Freaquence | Egyptian Room | Indianapolis, IN",https://papadosio.bandcamp.com/album/11119-fall-freaquence-egyptian-room-indianapolis-in
"10.31.19 | Headliners Music Hall | Louisville, KY",https://papadosio.bandcamp.com/album/103119-headliners-music-hall-louisville-ky
"10.18.19 | Summit Music Hall | Denver, CO",https://papadosio.bandcamp.com/album/101819-summit-music-hall-denver-co
"10.19.19 | Summit Music Hall | Denver, CO",https://papadosio.bandcamp.com/album/101919-summit-music-hall-denver-co
"10.4.19 | The Backyard Stage | St. Augustine, FL",https://papadosio.bandcamp.com/album/10419-the-backyard-stage-st-augustine-fl
"9.22.19 | Resonance Music & Arts Festival | Slippery Rock, PA",https://papadosio.bandcamp.com/album/92219-resonance-music-arts-festival-slippery-rock-pa
"9.20.19 | Resonance Music & Arts Festival | Slippery Rock, PA",https://papadosio.bandcamp.com/album/92019-resonance-music-arts-festival-slippery-rock-pa-2
"9.20.19 | Resonance Music & Arts Festival | Slippery Rock, PA",https://papadosio.bandcamp.com/album/92019-resonance-music-arts-festival-slippery-rock-pa
"9.19.19 | Resonance Music & Arts Festival | Slippery Rock, PA",https://papadosio.bandcamp.com/album/91919-resonance-music-arts-festival-slippery-rock-pa
"8.24.19 | Revolution Live | Fort Lauderdale, FL",https://papadosio.bandcamp.com/album/82419-revolution-live-fort-lauderdale-fl
"8.23.19 | Jannus Live | St. Petersburg, FL",https://papadosio.bandcamp.com/album/82319-jannus-live-st-petersburg-fl
"8.17.19 | Terminal West | Atlanta, GA",https://papadosio.bandcamp.com/album/81719-terminal-west-atlanta-ga
"8.16.19 | Terminal West | Atlanta, GA",https://papadosio.bandcamp.com/album/81619-terminal-west-atlanta-ga
"8.10.19 | The Caverns | Pelham, TN",https://papadosio.bandcamp.com/album/81019-the-caverns-pelham-tn
"6.28.19 | Cosmic Charlies | Lexington, KY",https://papadosio.bandcamp.com/album/62819-cosmic-charlies-lexington-ky
"6.29.19 | Cosmic Charlies | Lexington, KY",https://papadosio.bandcamp.com/album/62919-cosmic-charlies-lexington-ky
"6.1.19 | Summer Seequence | Pisgah Brewing Company | Black Mountain, NC",https://papadosio.bandcamp.com/album/6119-summer-seequence-pisgah-brewing-company-black-mountain-nc
"5.30.19 | Branch Fest | Newport, ME",https://papadosio.bandcamp.com/album/53019-branch-fest-newport-me
5.24.19 | Summercamp Music Festival | Red Barn Late Night,https://papadosio.bandcamp.com/album/52419-summercamp-music-festival-red-barn-late-night
"5.11.19 | Red Rocks Ampitheatre | Morrison, CO",https://papadosio.bandcamp.com/album/51119-red-rocks-ampitheatre-morrison-co
"4.27.19 | Soundstage | Baltimore, MD",https://papadosio.bandcamp.com/album/42719-soundstage-baltimore-md
"4.26.19 | Asbury Lanes | Asbury Park, NJ",https://papadosio.bandcamp.com/album/42619-asbury-lanes-asbury-park-nj
"4.25.19 | The Sinclair | Boston, MA",https://papadosio.bandcamp.com/album/42519-the-sinclair-boston-ma
"4.24.19 | Gateway City Arts | Holyoke, MA",https://papadosio.bandcamp.com/album/42419-gateway-city-arts-holyoke-ma
"4.20.19 | Theatre of Living Arts | Philadelphia, PA",https://papadosio.bandcamp.com/album/42019-theatre-of-living-arts-philadelphia-pa
"4.19.19 | Town Ballroom | Buffalo, NY",https://papadosio.bandcamp.com/album/41919-town-ballroom-buffalo-ny
"4.18.19 | The Haunt | Ithaca, NY",https://papadosio.bandcamp.com/album/41819-the-haunt-ithaca-ny
"4.17.19 | Westcott Theater | Syracuse, NY",https://papadosio.bandcamp.com/album/41719-westcott-theater-syracuse-ny
"4.14.19 | The National | Richmond, VA",https://papadosio.bandcamp.com/album/41419-the-national-richmond-va
"4.13.19 | Brooklyn Bowl | Brooklyn, NY",https://papadosio.bandcamp.com/album/41319-brooklyn-bowl-brooklyn-ny
"4.12.19 | Brooklyn Bowl | Brooklyn , NY",https://papadosio.bandcamp.com/album/41219-brooklyn-bowl-brooklyn-ny
"4.11.19 | Club XL Live | Harrisburg, PA",https://papadosio.bandcamp.com/album/41119-club-xl-live-harrisburg-pa
"4.10.19 | Elevation 27 | Virginia Beach, VA",https://papadosio.bandcamp.com/album/41019-elevation-27-virginia-beach-va
"3.16.19 | Madison Theater | Covington, KY",https://papadosio.bandcamp.com/album/31619-madison-theater-covington-ky
"3.15.19 | Madison Theater | Covington, KY",https://papadosio.bandcamp.com/album/31519-madison-theater-covington-ky
"2.16.19 | Funk Fest | Punta Gorda, FL",https://papadosio.bandcamp.com/album/21619-funk-fest-punta-gorda-fl
"2.15.19 | Vinyl Music Hall | Pensacola, FL",https://papadosio.bandcamp.com/album/21519-vinyl-music-hall-pensacola-fl
"2.14.19 | Workplay Theatre | Birmingham, AL",https://papadosio.bandcamp.com/album/21419-workplay-theatre-birmingham-al
"1.31.19 | Mesa Theatre | Grand Junction, CO",https://papadosio.bandcamp.com/album/13119-mesa-theatre-grand-junction-co
"1.26.19 | Old Town Pub | Steamboat, CO",https://papadosio.bandcamp.com/album/12619-old-town-pub-steamboat-co
"1.25.19 | Old Town Pub | Steamboat, CO",https://papadosio.bandcamp.com/album/12519-old-town-pub-steamboat-co
"1.24.19 | The Aggie | Fort Collins, CO",https://papadosio.bandcamp.com/album/12419-the-aggie-fort-collins-co
"1.20.19 | Sheridan Opera House | Telluride, CO",https://papadosio.bandcamp.com/album/12019-sheridan-opera-house-telluride-co
"1.19.19 | Animas City Theatre | Durango, CO",https://papadosio.bandcamp.com/album/11919-animas-city-theatre-durango-co
"1.18.19 | Animas City Theatre | Durango, CO",https://papadosio.bandcamp.com/album/11819-animas-city-theatre-durango-co
"12.31.18 | Marathon Music Works | Nashville, TN",https://papadosio.bandcamp.com/album/123118-marathon-music-works-nashville-tn
"12.30.18 | City Winery | Nashville, TN",https://papadosio.bandcamp.com/album/123018-city-winery-nashville-tn
"12.29.19 | Georgia Theatre | Athens, GA",https://papadosio.bandcamp.com/album/122919-georgia-theatre-athens-ga
"11.24.18 | The Rex Theatre | Pittsburgh, PA",https://papadosio.bandcamp.com/album/112418-the-rex-theatre-pittsburgh-pa
"11.23.18 | Newport Music Hall | Columbus, OH",https://papadosio.bandcamp.com/album/112318-newport-music-hall-columbus-oh
"11.10.18 | 9:30 Club | Washington, DC",https://papadosio.bandcamp.com/album/111018-9-30-club-washington-dc
"11.3.18 | Majestic Theatre | Madison, WI",https://papadosio.bandcamp.com/album/11318-majestic-theatre-madison-wi
